2.799933328765438273e+04,2.798298121369452201e+04,2.797351575832627714e+04,2.796263398463237900e+04,2.795309780010792019e+04,2.794453860450210777e+04,2.793461182525353797e+04,2.792773964765878554e+04,2.792242036263744740e+04,2.791773920222698871e+04
2.076365822057752302e+04,2.048810883451276459e+04,2.033624917311868558e+04,2.018360650926790549e+04,2.003641338873144923e+04,1.989556300155402278e+04,1.974441721962069278e+04,1.962327796467481312e+04,1.954120868671308199e+04,1.948735039924832017e+04
1.521955316118730843e+04,1.477242928864202804e+04,1.452365671944463975e+04,1.424082998923697596e+04,1.397139270438358471e+04,1.373526669576749555e+04,1.348851674980120151e+04,1.328502547631110247e+04,1.314705229859590690e+04,1.306212663391025490e+04
1.146884175243166101e+04,1.090947021326732465e+04,1.059702962718149138e+04,1.023602367993399639e+04,9.883613310844235457e+03,9.572866009599649260e+03,9.288496483693254049e+03,9.031783704760471664e+03,8.859373998696688432e+03,8.762774534607444366e+03
8.925641154545239260e+03,8.291880489479308380e+03,7.929451803527463198e+03,7.526021979674619615e+03,7.117442043086668491e+03,6.723235594833074174e+03,6.437949300216588199e+03,6.154323006551134313e+03,5.975877310990584192e+03,5.874364811653917968e+03
7.191019336630209182e+03,6.514358907460520641e+03,6.113373626074464482e+03,5.657896462804005751e+03,5.234885694217772652e+03,4.792014163996718707e+03,4.468355733570485427e+03,4.200223282476772511e+03,4.040476761041057671e+03,3.942631911822804341e+03
5.998523062856555953e+03,5.298588651402781579e+03,4.865843033789534275e+03,4.363897253408215875e+03,3.931431810981073340e+03,3.471245519852653160e+03,3.129435591300886699e+03,2.891996128905996102e+03,2.732770194434385758e+03,2.646088057427952663e+03
5.169430978804847655e+03,4.461461075974949381e+03,4.009733611787053178e+03,3.456537296536441772e+03,3.014311706673063782e+03,2.569969446333047472e+03,2.214249616214310663e+03,2.002745546536643133e+03,1.850341084600932390e+03,1.776689427046557284e+03
4.587394647269272355e+03,3.882127686636588351e+03,3.410574358114462029e+03,2.815283197232308794e+03,2.360383526228707069e+03,1.935366190251745593e+03,1.589187100268702352e+03,1.379865339043719587e+03,1.250797611467341994e+03,1.191403858739816542e+03
4.174382801487771758e+03,3.478447785529498105e+03,3.000267382098387770e+03,2.369770990762452584e+03,1.882736343165605604e+03,1.471640886558301645e+03,1.154328386442358806e+03,9.554934770726043780e+02,8.479213097821400424e+02,7.981774291901485867e+02
3.877732180313995741e+03,3.190575594532963351e+03,2.706454403207285850e+03,2.048371412355249959e+03,1.544220717259833009e+03,1.142163715422950190e+03,8.558447173882250354e+02,6.630396989263573460e+02,5.753389568743685913e+02,5.353524031479455516e+02
